번호,신고일자,법인또는상호,운영상태,"소재지주소(도로명주소, 없으면 지번주소)",호스트서버 업체명,호스트서버 도메인명,호스트서버 도메인유형,취급품목,취급품목세부사항,판매방식
27,20171101,양주채수리,정상영업,경기도 양주시 회정로109번길 60， 103동 501호 (덕정동， 한국아파트),-,G마켓,오픈,기타,골프용품,인터넷
28,20171101,아리스,정상영업,경기도 양주시 장흥면 권율로309번길 305-70,-,https://arisepension.modoo.at,개인,기타,숙박,인터넷
29,20171031,대한상사,정상영업,경기도 양주시 백석읍 부흥로 1110， 1동,-,네이버스토어팜,오픈,기타,공구 철물,인터넷
30,20171031,월드라인 글로벌,정상영업,경기도 양주시 백석읍 양주산성로 469-45,-,-,-,종합몰,-,인터넷
31,20171031,나린(NARIN),정상영업,경기도 양주시 옥정서로 130， 907동 401호 (옥정동， 옥정 센트럴파크 푸르지오),-,http://storefarm.naver.com/narinjewelry,오픈,의류/패션/잡화/뷰티,-,인터넷
32,20171030,주식회사 케어플러스,정상영업,경기도 양주시 만송로 394-94， 나동 (만송동),-,www.silver365.co.kr,개인,건강/식품,-,인터넷
33,20120914,제이제이피 인터네셔널,정상영업,경기도 양주시 평화로1203번길 17， 201호 (산북동),메이크샵,ariellove.com,-,종합몰,-,인터넷
34,20171030,퀼트부라더문구,정상영업,경기도 양주시 옥정동로 162， 1305동 203호 (옥정동， 율정마을13단지),-,http://storefarm.naver.com/homecat,오픈,종합몰,동물 용품,인터넷
35,20171027,이기(IGI)스튜디오,정상영업,경기도 양주시 고암길 273， 309동 101호 (고암동， 동안마을주공3단지아파트),-,www.igistudio.com,개인,종합몰,광고사진 출장촬영,인터넷 카다로그 기타
36,20171027,주식회사 세이프존컴퍼니,정상영업,경기도 양주시 부흥로 847， 316-36호 (양주테크노시티),-,www.safenine.kr,개인,종합몰,-,인터넷
37,20171027,하와이핑크,정상영업,경기도 양주시 남면 개나리길 30， 3층,-,http://storefarm.naver.com/hawaiipink,오픈,의류/패션/잡화/뷰티,-,인터넷
38,20171026,황금열매,정상영업,경기도 양주시 광적면 부흥로 847， 316호 (양주테크노시티),-,http://storefarm.naver.com/ruwon,오픈,의류/패션/잡화/뷰티,-,인터넷
39,20171026,진품,정상영업,경기도 양주시 고읍로 117-22， 상가동 1층 101호 (만송동， 은빛마을휴먼시아아파트),-,http://band.us/n/a1a2U4ifa6F,개인,기타,축수산,인터넷
40,20161007,유킴,정상영업,경기도 양주시 옥정서로 130， 913동 302호 (옥정동， 옥정센트럴파크푸르지오),-,https://sell.storefarm.naver.com,오픈,의류/패션/잡화/뷰티,-,인터넷
41,20170801,청년가구,정상영업,경기도 양주시 부흥로 1219， 1층， 2층 (유양동),-,네이버 오픈마켓,-,가구/수납용품,-,인터넷
42,20171024,경동보일러,정상영업,경기도 양주시 부흥로 2152-11， 103동 301호 (삼숭동， 성우아파트 아침의미소),-,오픈마켓(옥션 11번가 G마켓),오픈,기타,보일러  에어컨,인터넷
43,20171024,송송퍼니쳐,정상영업,경기도 양주시 고읍남로191번길 70-22 (광사동),-,오픈마켓(네이버 스토어팜),오픈,가구/수납용품,-,인터넷
44,20171024,아모르파티(amor fati),정상영업,경기도 양주시 평화로 1552-19， 201동 704호 (회정동， 금용아파트),-,오픈마켓(네이버 스토어팜),오픈,종합몰 가구/수납용품 성인/성인용품 교육/도서/완구/오락 의류/패션/잡화/뷰티 자동차/자동차용품 가전 레져/여행/공연 상품권 컴퓨터/사무용품 건강/식품 기타,-,인터넷 기타
45,20171024,진선금속,정상영업,경기도 양주시 평화로1475번길 238-18 (덕계동),-,오픈마켓(네이버 스토어팜),오픈,기타,가방장식,인터넷
46,20171024,원스텝,정상영업,경기도 양주시 옥정동로 162， 1305동 1201호 (옥정동， 율정마을13단지),-,오픈마켓(네이버 스토어팜),오픈,의류/패션/잡화/뷰티,-,인터넷
47,20120710,주식회사 메리코스,정상영업,경기도 양주시 삼숭로134번길 18 (삼숭동),-,www.mericos.com,-,기타,화장품,인터넷
48,20160418,제이트리플(JTriple),정상영업,경기도 양주시 은현면 은현로 508， 2층 203호,-,오픈마켓,-,기타,기타(마켓팅),인터넷
49,20130924,지앤,정상영업,경기도 양주시 고읍남로39번길 63， 301호 (광사동),-,오픈마켓,-,종합몰,-,인터넷
50,20171023,30클래스,정상영업,경기도 양주시 고암길 354， 516동 1903호 (덕정동， 봉우마을),-,www.30class.com,개인,의류/패션/잡화/뷰티,-,인터넷
51,20171019,배움과 변화(Learning and Change),정상영업,경기도 양주시 옥정서로 130， 912동 2301호 (옥정동， 옥정센트럴파크푸르지오),-,www.learning-c.com,개인,교육/도서/완구/오락,-,인터넷
52,20171019,J&J특수인쇄,정상영업,경기도 양주시 광적면 광적로227번길 43-28， 나동,-,네이버 스토어팜,오픈,기타,카드 인쇄물,인터넷
53,20171018,예인,정상영업,경기도 양주시 백석읍 부흥로1204번길 86， 1，2층 ((주)영일교육시스템),-,11번가,오픈,기타,아로마 캔들  디퓨저  향초,인터넷
54,20171018,깊쁨 F&B,정상영업,경기도 양주시 장흥면 일영로 549,-,www.gipbbm.com,개인,건강/식품,식품,인터넷
55,20171017,진짜기프트,정상영업,경기도 양주시 광적면 부흥로 847， 4층 A-2호 (양주테크노시티),-,jinzzagift.com,개인,종합몰,-,인터넷
56,20171013,한국엘이씨 주식회사(KOREA LEC INC.),정상영업,경기도 양주시 광적면 부흥로 847， 523호 (양주테크노시티),-,G마켓,오픈,기타,생활용품,인터넷
57,20170605,시큐테크,정상영업,경기도 양주시 삼숭로38번길 55， 308동 402호 (삼숭동， 양주자이아파트),-,오픈마켓,-,의류/패션/잡화/뷰티 기타,보안용품  생활용품,인터넷
58,20160923,주식회사 피엔에이코리아,정상영업,경기도 양주시 남면 감악산로215번길 211-79,-,www.pn-korea.com,-,의류/패션/잡화/뷰티 기타,의료기기 산업안전장구,인터넷
59,20171012,피프티 나인(Fifty Nine),정상영업,경기도 양주시 백석읍 꿈나무로 299 (동화은하수큰마을제1지구),-,http://leeseulgi.com,개인,종합몰 교육/도서/완구/오락 의류/패션/잡화/뷰티,-,인터넷
60,20171011,햄스(hams),정상영업,경기도 양주시 고읍북로 15， 505동 705호 (만송동， 은빛마을휴먼시아),카페24,www.hams.or.kr,개인,의류/패션/잡화/뷰티,-,인터넷
61,20171010,블리송(BLYSONG),정상영업,경기도 양주시 남면 삼육사로355번길 66,-,http://storefarm.naver.com/blysong,오픈,의류/패션/잡화/뷰티,-,인터넷
62,20171010,현관중문 금문,정상영업,경기도 양주시 청담로13번길 54 (고읍동),-,www.golddoor.kr,개인,기타,현관중문,인터넷
63,20171010,핑크봉하우스,정상영업,경기도 양주시 광적면 광적로 85-18， 104동 406호 (희망아파트),-,카카오스토리.블로그,개인,종합몰 교육/도서/완구/오락 의류/패션/잡화/뷰티 건강/식품,-,인터넷 카다로그
64,20171010,에코라인,정상영업,경기도 양주시 칠봉산로168번길 181 (봉양동),-,http://ecolinemall.com,개인,종합몰,-,인터넷 기타
65,20101018,투어스코리아,정상영업,경기도 양주시 옥정로5길 35， 1102동 8층 3호 (옥정동， 이편한세상양주),-,오픈마켓(옥션/ storefarm.naver.com/soccerpark 등),-,의류/패션/잡화/뷰티,-,인터넷
66,20170929,조은나라,정상영업,경기도 양주시 백석읍 권율로 1455-15， 102동 1306호 (백석 한승아파트),-,www.joeunfelt.com,개인,교육/도서/완구/오락 의류/패션/잡화/뷰티,-,인터넷
67,20170929,버블베베,정상영업,경기도 양주시 양주산성로 85-6 (남방동),-,http://storefarm.naver.com/bubble_bebe,오픈,기타,천연비누,인터넷
68,20170929,남부리싸이클파크,정상영업,경기도 양주시 백석읍 중앙로 302,-,nbrpmall.com,개인,자동차/자동차용품,-,인터넷
69,20170929,두잉마켓,정상영업,경기도 양주시 장흥면 일영로703번길 92 (일영역관사 왼쪽집),-,http://blog.naver.com/kkh1461,개인,의류/패션/잡화/뷰티,-,인터넷 기타
70,20170929,헤이미쉬,정상영업,경기도 양주시 삼숭로58번길 115， 607동 1302호 (삼숭동， 양주자이아파트),-,옥션,오픈,종합몰 교육/도서/완구/오락 컴퓨터/사무용품 가구/수납용품 자동차/자동차용품 상품권,-,인터넷
71,20170927,제이앤제이캐미칼,정상영업,경기도 양주시 은현면 운하로434번길 2-38,-,http://stores.auction.co.kr/jandj531,오픈,교육/도서/완구/오락 컴퓨터/사무용품,-,인터넷 기타
72,20170927,알리바바,정상영업,경기도 양주시 백석읍 부흥로1204번길 127， 가동 303호 (산성그린빌라),-,쿠팡,오픈,종합몰 의류/패션/잡화/뷰티 가전 컴퓨터/사무용품 자동차/자동차용품,-,인터넷
73,20170926,농업회사법인 밀크팜 주식회사,정상영업,경기도 양주시 남면 휴암로 454-1,-,www.milk-farm.co.kr,개인,건강/식품,-,인터넷
74,20170926,진농원,정상영업,경기도 양주시 남면 경신리 175번지 외 2필지,-,http://sell.storefarm.naver.com,오픈,건강/식품,농산물,인터넷 기타
75,20170926,굿모닝투어,정상영업,경기도 양주시 평화로 1426， 304호 (덕계동),네이버 주식회사,네이버스토어팜,오픈,종합몰 레져/여행/공연,-,인터넷
76,20161229,우정텍스,정상영업,경기도 양주시 칠봉산로168번길 266-27， 나동 (회암동),-,오픈마켓,-,종합몰,-,신문잡지 인터넷 기타 TV홈쇼핑
77,20170925,스타유통,정상영업,경기도 양주시 옥정서로 130， 906동 2002호 (옥정동， 옥정센트럴파크푸르지오),-,http://stgermain.modoo.at,개인,의류/패션/잡화/뷰티 건강/식품 레져/여행/공연,-,인터넷
78,20170925,몽키가구,정상영업,경기도 양주시 고덕로139번길 248-30， 206호 (덕계동， 푸른마을삼희아파트),-,http://blog.naver.com/buyhelper,개인,가구/수납용품,-,인터넷
79,20170925,스코우,정상영업,경기도 양주시 외미로20번길 41-19， 2층 (남방동),-,스토어팜,오픈,종합몰,-,인터넷
80,20170922,애견시대,정상영업,경기도 양주시 백석읍 호명로 87， 103동 1303호 (샘터마을태영아파트),-,애견시대.com,개인,기타,애견,인터넷
81,20170922,맛칸드림,정상영업,경기도 양주시 고읍북로 15， 503동 1406호 (만송동， 은빛마을휴먼시아),-,maacam.modoo.at,개인,기타,생고기 숙성고,인터넷
82,20170922,수제가구,정상영업,경기도 양주시 백석읍 중앙로 353-36， 가동,카페24,수제가구.com,개인,가구/수납용품,-,인터넷
83,20170921,레니즈(LENEEDS),정상영업,경기도 양주시 평화로1454번길 7， 103호 (덕계동),-,lenssis-kr.com,개인,종합몰,-,인터넷
84,20170921,하나하나,정상영업,경기도 양주시 고암길 275， 303동 505호 (고암동， 동안마을주공3단지아파트),-,네이버스토어팜,오픈,의류/패션/잡화/뷰티,-,인터넷
85,20140108,디에스컴퍼니,정상영업,경기도 양주시 양주산성로 98-22， 1동 (남방동),-,오픈마켓,-,가전,-,인터넷
86,20130201,엠플렌(M-Plan),정상영업,경기도 양주시 부흥로 1373-22 (유양동),-,www.mplanmall.com,-,건강/식품,-,인터넷
87,20170920,그린조아,정상영업,경기도 양주시 장흥면 일영로327번길 41-20,카페24,http://greenjoa.net,개인,기타,화분,인터넷 카다로그
88,20170919,유(U)마트,정상영업,경기도 양주시 백석읍 고릉말로 49， 101호,-,http://b2b.epost.go.kr,개인,의류/패션/잡화/뷰티 기타,주방용품  판촉물,인터넷
89,20170918,바이마켓코리아,정상영업,경기도 양주시 고덕로139번길 202-9 (덕계동),-,11번가,오픈,종합몰,-,인터넷
90,20170915,새롬북,정상영업,경기도 양주시 고덕로 159， 202동 201호 (덕계동， 현진에버빌아파트),-,오픈마켓,오픈,교육/도서/완구/오락,-,인터넷
91,20170915,(주)프레시원동서울 양주지점,정상영업,경기도 양주시 평화로1399번길 39 (덕계동),-,www.freshonemall.com,개인,건강/식품,식자재,인터넷 기타
92,20170914,슈니미니,정상영업,경기도 양주시 백석읍 꿈나무로 320， 506동 1204호 (동화5차옥시죤아파트),KT분당IDC,https://story.kakao.com/ch/sumnie/app,개인,의류/패션/잡화/뷰티,-,인터넷
93,20161209,선향내츄럴,정상영업,경기도 양주시 평화로1416번길 34-5， 202호 (덕계동),-,seonhyang.com,-,의류/패션/잡화/뷰티,-,인터넷
94,20170914,로파,정상영업,경기도 양주시 삼숭로38번길 55， 308동 406호 (삼숭동， 양주자이아파트),KT분당IDC,http://storefarm.naver.com/ropa_,오픈,의류/패션/잡화/뷰티,-,인터넷
95,20170914,프레시업,정상영업,경기도 양주시 고덕로 89， 107동 1003호 (덕계동， 양주푸르지오아파트),KT분당IDC,http://storefarm.naver.com/freshup,오픈,종합몰,-,인터넷
96,20170913,(주)뉴옵틱스 양주지점,정상영업,경기도 양주시 남면 개나리15길 20， A동 1층 (뉴옵틱스 기숙사),카페24,http://caremedic.shop,개인,기타,의료기기,인터넷
97,20170913,몽픽컴퍼니,정상영업,경기도 양주시 만송로366번길 175-7 (만송동),-,11번가,개인,의류/패션/잡화/뷰티,-,인터넷
98,20170116,주식회사 코스엘,정상영업,경기도 양주시 어하고개로 64 (삼숭동),-,G마켓 옥션 11번가 인터파크 스토어팜,-,의류/패션/잡화/뷰티 기타,헤어 왁스,인터넷
99,20170913,주식회사 스톰에너지,정상영업,경기도 양주시 양주산성로 116， 1층 (남방동),-,www.storm-energy.co.kr,개인,기타,조명장치  전력변환기,인터넷
100,20170912,완타이(ONE thai),정상영업,경기도 양주시 부흥로 2152-11， 108동 403호 (삼숭동， 성우아파트 아침의미소),-,www.one-thai.com,개인,종합몰,-,인터넷
101,20170912,이프리즈,정상영업,경기도 양주시 백석읍 꿈나무로 136， B06호 (세아상가),-,네이버스토어팜,오픈,의류/패션/잡화/뷰티,-,인터넷
102,20170911,날마다  집,정상영업,경기도 양주시 옥정서로 130， 903동 2304호 (옥정동， 옥정센트럴파크푸르지오),-,http://storefarm.naver.com/nalmadazip,오픈,종합몰,-,인터넷
103,20170911,(주)삼마인터내셔널,정상영업,경기도 양주시 고덕로329번길 47 (고읍동),-,http:/www.coupang.com,오픈,의류/패션/잡화/뷰티,-,인터넷
104,20170911,(주)에스앤제이,정상영업,경기도 양주시 백석읍 양주산성로 763-45， 나동,KT분당IDC,네이버스토어팜,오픈,가전,-,인터넷 TV홈쇼핑
105,20170911,시안블루,정상영업,경기도 양주시 고읍북로 78， 702동 905호 (만송동， 은빛마을휴먼시아),KT분당IDC,http://storefarm.naver.com/storedesign,오픈,종합몰 교육/도서/완구/오락 의류/패션/잡화/뷰티 자동차/자동차용품,-,TV홈쇼핑 인터넷
106,20170907,브로팩토리,정상영업,경기도 양주시 남면 운하로 36， 2층,-,네이버스토어팜 등 오픈마켓,오픈,기타,애완용품,인터넷
107,20170907,더 착한원단,정상영업,경기도 양주시 부흥로1810번길 58， 2호 (광사동),-,네이버스토어팜 등 오픈마켓,오픈,기타,원단,인터넷
108,20170907,디자인후니,정상영업,경기도 양주시 삼숭로38번길 91， 412동 1404호 (삼숭동， 양주자이아파트),-,www.designhooni.com,개인,종합몰,-,인터넷
109,20170906,딜라잇줄리아,정상영업,경기도 양주시 옥정동로 257， 710동 1003호 (옥정동， 율정마을7단지아파트),-,storefarm.naver.com/junikids,오픈,종합몰,-,인터넷
110,20170906,스마트넷,정상영업,경기도 양주시 새터로 37， 110동 1104호 (옥정동， 세창리베하우스아파트),-,11번가 등 오픈마켓,오픈,종합몰 건강/식품,-,인터넷
111,20170905,엘리스원단,정상영업,경기도 양주시 화합로1426번길 39， 105동 1801호 (덕정동， 은동마을주공1단지아파트),카페24,alicecotton.co.kr,개인,기타,원단,카다로그 인터넷
112,20160707,밀크베베,정상영업,경기도 양주시 옥정서로 130， 915동 2703호 (옥정동， 옥정센트럴파크푸르지오),-,제이앤티.kr,-,의류/패션/잡화/뷰티,-,인터넷
113,20170904,주식회사 이반가구,정상영업,경기도 양주시 남면 삼일로755번길 189-6,-,11번가 등 오픈마켓,오픈,가구/수납용품,-,인터넷
114,20170904,겜박스,정상영업,경기도 양주시 옥정서로 130， 911동 2403호 (옥정동， 옥정센트럴파크푸르지오),-,blog.naver.com/shinsiy,개인,기타,게임기기,인터넷
115,20170901,윤프로샵,정상영업,경기도 양주시 고읍남로191번길 69-29， 1층 (광사동),-,storefarm.naver.com/yoonproshop,오픈,레져/여행/공연,-,인터넷
116,20170901,다비드핸즈,정상영업,경기도 양주시 송랑로89번길 53-51， 101호 (만송동),-,blog.naver.com/alluregril,개인,가구/수납용품,-,인터넷
117,20170901,차니플라워케이크,정상영업,경기도 양주시 옥정동로 173， 203호 (옥정동， 다올레이크프라자),-,네이버스토어팜 등 오픈마켓,오픈,건강/식품,-,인터넷
118,20170831,와와마트,정상영업,경기도 양주시 옥정서로 130， 913동 1504호 (옥정동， 옥정센트럴파크푸르지오),가비아,와와마트.com,개인,종합몰 교육/도서/완구/오락 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 레져/여행/공연 건강/식품 자동차/자동차용품,-,인터넷
119,20170831,오시오,정상영업,경기도 양주시 고읍남로39번길 129-52， 302호 (광사동),-,11번가 등 오픈마켓,오픈,가전 컴퓨터/사무용품 의류/패션/잡화/뷰티,-,인터넷
120,20170830,세븐텍스,정상영업,경기도 양주시 마전로113번길 15 (마전동),-,네이버스토어팜 등 오픈마켓,오픈,의류/패션/잡화/뷰티,-,기타
121,20170829,패턴메이드,정상영업,경기도 양주시 옥정서로 130， 910동 601호 (옥정동， 옥정센트럴파크푸르지오),-,story.kakao.com/ch/ggogga90,개인,의류/패션/잡화/뷰티,-,인터넷
122,20170828,티케몰,정상영업,경기도 양주시 평화로1475번길 170-18， 나동 201호 (덕계동， 엑스포하이츠빌라),-,옥션 11번가 등 오픈마켓,오픈,종합몰,-,인터넷
123,20170828,천생연분마을 영농조합법인,정상영업,경기도 양주시 장흥면 일영로502번길 105 (마을정보센터),-,lotus.invil.org,개인,레져/여행/공연 건강/식품 기타,농산물,인터넷 카다로그 신문잡지 기타
124,20170828,어느날마켓,정상영업,경기도 양주시 은현면 은현로312번길 121-239,-,blog.naver.com/su_j1n1,개인,의류/패션/잡화/뷰티,-,인터넷
125,20150320,웰스(Wells),정상영업,경기도 양주시 청담로 163-26 (고암동),네이버스토어팜,네이버스토어팜,-,기타,녹물필터,인터넷
126,20170825,동묘스토어,정상영업,경기도 양주시 고읍로 117-21， 605동 805호 (만송동， 은빛마을휴먼시아),-,www.dongmyostore.com,개인,의류/패션/잡화/뷰티,-,인터넷
127,20170821,(주)농업회사법인 황앤윤,정상영업,경기도 양주시 백석읍 권율로 1307， 202호,-,www.naturetable.net,개인,종합몰 건강/식품,-,인터넷
128,20170821,공수,정상영업,경기도 양주시 은현면 화합로719번길 53,-,storefarm.naver.com/kongsik,오픈,종합몰 교육/도서/완구/오락 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 건강/식품 자동차/자동차용품,-,인터넷 TV홈쇼핑 카다로그
129,20170817,포리판다,정상영업,경기도 양주시 고읍북로 78， 706동 1106호 (만송동， 은빛마을휴먼시아),-,네이버스토어팜 등 오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
130,20170816,부흥종합주방,정상영업,경기도 양주시 평화로 2004 (봉양동),-,storefarm.naver.com/bh-mall,오픈,종합몰,-,인터넷 카다로그 신문잡지
131,20170816,서진,정상영업,경기도 양주시 부흥로1878번길 137， 1층 (광사동),-,storefarm.naver.com/sjtex,오픈,의류/패션/잡화/뷰티,-,인터넷
132,20170314,신성커머스,정상영업,경기도 양주시 백석읍 호명로 24， 301호,-,오픈마켓,-,종합몰,-,인터넷
133,20170816,별하유통,정상영업,경기도 양주시 고암길 275， 311동 1204호 (고암동， 동안마을주공3단지아파트),-,네이버스토어팜 등 오픈마켓,오픈,건강/식품,-,인터넷
134,20170816,대성,정상영업,경기도 양주시 삼숭로38번길 78-12， 207동 1204호 (삼숭동， 양주자이아파트),-,옥션 등 오픈마켓,오픈,의류/패션/잡화/뷰티 레져/여행/공연,-,인터넷
135,20170814,농업회사법인(주)세농부,정상영업,경기도 양주시 남면 감악산로244번길 100-4,-,naver.me/GWPw8Xdf,개인,건강/식품,-,인터넷
136,20170811,오성산업,정상영업,경기도 양주시 남면 삼일로485번길 9-6,-,www.packsismall.net,개인,기타,식품포장기  포장용기,인터넷
137,20170811,마루와 찡찡이,정상영업,경기도 양주시 고읍로 64， 405동 704호 (고읍동， 산내들마을휴먼시아),-,derpet.net,개인,기타,애견용품,인터넷
138,20170810,봉봉,정상영업,경기도 양주시 평화로1435번길 51 (덕계동),-,www.bongbong2.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
139,20170810,주식회사 스카이투어관광,정상영업,경기도 양주시 은현면 화합로863번길 105,-,www.facebook.com/skytourcom,개인,레져/여행/공연,-,인터넷
140,20170810,북 메이커스,정상영업,경기도 양주시 옥정서로 130， 908동 303호 (옥정동， 옥정센트럴파크푸르지오),-,네이버스토어팜 등 오픈마켓,오픈,교육/도서/완구/오락 기타,디자인 대행,인터넷
141,20170809,향기애,정상영업,경기도 양주시 고덕로139번길 361-21， 102동 14층 2호 (덕계동， 현대아파트),-,www.hyanggiae.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
142,20170808,아키사인,정상영업,경기도 양주시 부흥로 2152-11， 102동 703호 (삼숭동， 성우아파트 아침의미소),-,www.akisign.com,개인,컴퓨터/사무용품,-,인터넷
143,20170125,까까독,정상영업,경기도 양주시 옥정서로 130， 904동 21층 3호 (옥정동， 옥정센트럴파크푸르지오),-,http://storefarm.naver.com/malllang,-,기타,기타(애완용품),인터넷
144,20150720,대선상사,정상영업,경기도 양주시 백석읍 양주산성로 532， 2층 (상가동),-,오픈마켓,-,의류/패션/잡화/뷰티,-,인터넷
145,20170221,에어플랜트,정상영업,경기도 양주시 부흥로 1566 (마전동),11번가,11번가,-,기타,식물,인터넷
146,20140425,도담키즈,정상영업,경기도 양주시 옥정서로 130， 907동 4층 3호 (옥정동， 옥정센트럴파크푸르지오),-,www.dodamkids.com,-,가구/수납용품,-,인터넷
147,20170803,한결정수기,정상영업,경기도 양주시 백석읍 호명로 46， 가동 101호,-,www.purifier.or.kr,개인,가전,-,인터넷
148,20170803,야야샵,정상영업,경기도 양주시 은현면 운암리 산 30번지 29호 425， 425-1， 425-2， 425-6， 425-7,-,네이버스토어팜 등 오픈마켓,오픈,종합몰 의류/패션/잡화/뷰티,-,인터넷
149,20170406,고집쟁이,정상영업,경기도 양주시 삼숭로58번길 141， 701동 1001호 (삼숭동， 양주자이아파트),-,카카오스토리(//story.kakao.com/_gH3aK8/jZ5EbLPb00A) 밴드,-,의류/패션/잡화/뷰티,-,기타
